TITLE,AI_PREDICTED_TITLE,AI_TITLE_SIMILARITY,DESCRIPTION,SHORT_DESCRIPTION,INSTRUCTORS_NAMES
Understanding Artificial Intelligence,Introduction to AI for Everyone,0.7474478038,"Artificial Intelligence (AI) is without any doubt the most breakthrough and omnipresent discipline in today's economy, media, industry, and society at large. This non-technical course will expose you to the basic elements of the rapidly evolving field of AI. Through plenty of hands-on activities and without any coding required, we will uncover together those jargon terms everyone keeps talking about, such as machine learning, deep learning, explainable AI, natural language processing, generative models, and more. We'll also explore a variety of AI applications in everyday life and the AI techniques behind the scenes, how can organizations become AI-driven, and what are the key lessons learned, challenges, and societal implications of AI's unstoppable progress. The videos contain live transcripts you can reveal by clicking ""Show transcript"" at the bottom left of the videos. The course glossary, promotional material and detailed learning objectives can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.","Learn the basic concepts of Artificial Intelligence, such as machine learning, deep learning, NLP, generative AI, and more.",Iván P.C.
Monitoring Data Quality for MLOps Pipelines,MLOps Monitoring and Observability,0.7325166464,"Monitor data quality, drift, and model performance across ML pipelines using modern observability tools.",Detect data issues early in your MLOps workflows.,Ben Liu
Understanding Data Visualization,Introduction to Data Visualization with Matplotlib,0.7302068472,"Visualizing data using charts, graphs, and maps is one of the most impactful ways to communicate complex data. In this course, you’ll learn how to choose the best visualization for your dataset, and how to interpret common plot types like histograms, scatter plots, line plots and bar plots. You'll also learn about best practices for using colors and shapes in your plots, and how to avoid common pitfalls. Through hands-on exercises, you'll visually explore over 20 datasets including global life expectancies, Los Angeles home prices, ESPN's 100 most famous athletes, and the greatest hip-hop songs of all time. The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",An introduction to data visualization with no coding involved.,Richie Cotton
Winning a Kaggle Competition in Python,How to Win a Data Science Competition: Learn from Top Kagglers,0.7267785506,"Kaggle is the most famous platform for Data Science competitions. Taking part in such competitions allows you to work with real-world datasets, explore various machine learning problems, compete with other participants and, finally, get invaluable hands-on experience. In this course, you will learn how to approach and structure any Data Science competition. You will be able to select the correct local validation scheme and to avoid overfitting. Moreover, you will master advanced feature engineering together with model ensembling approaches. All these techniques will be practiced on Kaggle competitions datasets.",Learn how to approach and win competitions on Kaggle.,Yauhen Babakhin
Feature Engineering for NLP in Python,Introduction to Natural Language Processing in Python,0.7238907814,"In this course, you will learn techniques that will allow you to extract useful information from text and process them into a format suitable for applying ML models. More specifically, you will learn about POS tagging, named entity recognition, readability scores, the n-gram and tf-idf models, and how to implement them using scikit-learn and spaCy. You will also learn to compute how similar two documents are to each other. In the process, you will predict the sentiment of movie reviews and build movie and Ted Talk recommenders. Following the course, you will be able to engineer critical features out of any text and solve some of the most challenging problems in data science!",Learn techniques to extract useful information from text and process them into a format suitable for machine learning.,Rounak Banik
Intermediate GitHub Concepts,Intermediate GitHub for Data Scientists,0.7157159191,"Take your GitHub skills to the next level with this intermediate course, building on the foundations of our introductory course. You'll dive deeper into GitHub Projects, automation with GitHub Actions, and advanced security features. By the end, you'll be able to manage complex workflows, enhance team collaboration, and secure your projects more effectively. This course is perfect for those who already know the basics and want to streamline their data or software project management further!","Level up your GitHub skills with our intermediate course on GitHub Projects, Administration, and advanced security features.",Arne Warnke; Stan Konkin
Case Study: Building Software in Python,Software Engineering Principles in Python,0.6977980497,"Learn to build a real-world application—a mortgage calculator—while mastering core software engineering principles. You’ll design modular Python code, use inheritance to expand functionality, and ensure quality through best practices like the DRY principle, PEP 8 compliance, and automated testing with pytest. By the end, you’ll have the skills to create efficient, maintainable, and scalable software solutions for real-world challenges.",Build real-world applications with Python—practice using OOP and software engineering principles to write clean and maintainable code.,Mark Pedigo
Introduction to Regression with statsmodels in Python,Introduction to Regression in R,0.6888287438,"Linear regression and logistic regression are two of the most widely used statistical models. They act like master keys, unlocking the secrets hidden in your data. In this course, you’ll gain the skills you need to fit simple linear and logistic regressions. Through hands-on exercises, you’ll explore the relationships between variables in real-world datasets, including motor insurance claims, Taiwan house prices, fish sizes, and more. By the end of this course, you’ll know how to make predictions from your data, quantify model performance, and diagnose problems with model fit.","Predict housing prices and ad click-through rate by implementing, analyzing, and interpreting regression analysis with statsmodels in Python.",Maarten Van den Broeck
Natural Language Processing with spaCy,Introduction to Natural Language Processing in Python,0.6477884247,"Learn spaCy, the fast-growing industry-standard NLP library, for tasks like tokenization, parsing, and named entity recognition. Master core operations, use classes like Doc and Token, and train models. Extract terms with pattern matching, create custom pipeline components, and handle real-world examples for your NLP projects.",Master the core operations of spaCy and train models for natural language processing. Extract information from unstructured data and match patterns.,Azadeh Mobasher
Cluster Analysis in Python,Unsupervised Learning in Python,0.6414555885,"You have probably come across Google News, which automatically groups similar news articles under a topic. Have you ever wondered what process runs in the background to arrive at these groups? In this course, you will be introduced to unsupervised learning through clustering using the SciPy library in Python. This course covers pre-processing of data and application of hierarchical and k-means clustering. Through the course, you will explore player statistics from a popular football video game, FIFA 18. After completing the course, you will be able to quickly apply various clustering algorithms on data, visualize the clusters formed and analyze results.","In this course, you will be introduced to unsupervised learning through techniques such as hierarchical and k-means clustering using the SciPy library.",Shaumik Daityari
Efficient AI Model Training with PyTorch,Distributed Training with Hugging Face and PyTorch,0.635785466,"Do you want your machine learning models to train in a fraction of the time? Distributed training allows you to train models across multiple devices, making it possible to scale your AI projects and reduce training times. In this course, you'll learn how to use the Hugging Face Accelerator library and PyTorch to prepare models for distributed training on your device. You'll explore data sharding, model replication, and parameter synchronization while gaining hands-on experience applying these techniques to real-world workflows, whether working on image, text, or audio models.",Learn how to reduce training times for large language models with Accelerator and Trainer for distributed training,Dennis Lee
Transformer Models with PyTorch,Building Transformers from Scratch,0.6308653795,"Dive deeper into LLMs and discover how the transformer architecture has revolutionized deep learning and enabled the generative AI boom! In this course, you'll learn to create your own transformer architecture from the ground up, component by component. You'll learn how to encode token positions, perform attention mechanism calculations, and build modular transformer components to give you greater control over your transformer's inner workings. Go from zero to LLM hero today!",What makes LLMs tick? Discover how transformers revolutionized text modeling and kickstarted the generative AI boom.,James Chapman
ARIMA Models in Python,Time Series Analysis in Python,0.6263403369,"Have you ever tried to predict the future? What lies ahead is a mystery which is usually only solved by waiting. In this course, you will stop waiting and learn to use the powerful ARIMA class models to forecast the future. You will learn how to use the statsmodels package to analyze time series, to build tailored models, and to forecast under uncertainty. How will the stock market move in the next 24 hours? How will the levels of CO2 change in the next decade? How many earthquakes will there be next year? You will learn to solve all these problems and more.",Learn about ARIMA models in Python and become an expert in time series analysis.,James Fulton
Fine-Tuning with Llama 3,Fine-tuning LLMs with Hugging Face,0.6177962195,"Fine-tune the Llama open-source LLM to optimize its performance for specialized applications. Learn how to use TorchTune's recipe-based system and Hugging Face’s SFTTrainer to run fine-tuning loops, preparing your models with custom datasets. Finally, experiment with parameter-efficient techniques like LoRA and apply quantization to decrease model memory usage and run your tasks more efficiently.","Fine-tune Llama for custom tasks using TorchTune, and learn techniques for efficient fine-tuning such as quantization.",Francesca Donadoni
Multi-Modal Systems with the OpenAI API,Building Voice Applications with OpenAI,0.6089276983,"Bored of text generation yet? If so, you've come to the right course! OpenAI provides models far beyond text generation. In this course, you'll learn how to use OpenAI's speech-to-text and text-to-speech models, and also perform content moderation to detect inappropriate content. You'll wrap up the course with a case study where you'll build your own end-to-end smooth-talking customer support chatbot that can respond to customer inquiries with spoken audio in their native language!","Create multi-modal systems using OpenAI's text and audio models, including an end-to-end customer support chatbot!",James Chapman; Stan Konkin
Multi-Modal Models with Hugging Face,Multimodal Generative AI,0.6006901146,"Text generation is so 2024! In this course, we'll combine data modalities to generate images, audio, and even videos! We'll use Hugging Face models and datasets, to perform computer vision tasks like image classification, object detection, and segmentation. We'll denoise audio and generate music using models from Meta, and we'll use prompts to edit images and generate video. Join us on this generative AI journey today!","Combine text, images, audio, and video with the latest AI models from Hugging Face, and generate new images and videos!",Sean Benson
Vector Databases for Embeddings with Pinecone,Building AI Applications with Pinecone,0.5934626702,"Discover how the Pinecone vector database is revolutionizing AI application development. Pinecone is a fully-managed, ultra-low query latency vector database solution that is cornering the market. In this course, you'll learn to ingest, manipulate, and query vectors from Pinecone indexes. You'll use these skills, along with other fundamental concepts such as Retrieval Augmented Generation (RAG) to enable AI applications such as semantic search engines and context-aware chatbots. Finally, you'll learn to optimize your production databases by looking at techniques for tuning performance, optimizing storage, and improving query latency.",Discover how the Pinecone vector database is revolutionizing AI application development!,James Chapman; Ryan Ong
Advanced NLP with spaCy,Natural Language Processing Fundamentals in Python,0.5913929234,"If you're working with a lot of text, you'll eventually want to know more about it. For example, what's it about? What do the words mean in context? Who is doing what to whom? What companies and products are mentioned? Which texts are similar to each other? In this course, you'll learn how to use spaCy, a fast-growing industry standard library for NLP in Python, to build advanced natural language understanding systems, using both rule-based and machine learning approaches.","Learn how to use spaCy to build advanced natural language understanding systems, using both rule-based and machine learning approaches.",Ines Montani
End-to-End Machine Learning,Machine Learning Scientist with Python,0.5905569224,"Dive into the world of machine learning and discover how to design, train, and deploy end-to-end models with this comprehensive course. Through engaging, real-world examples and hands-on exercises, you'll learn to tackle complex data problems and build powerful ML models. By the end of this course, you'll be equipped with the skills needed to create, monitor, and maintain high-performing models that deliver actionable insights.","Dive into the world of machine learning and discover how to design, train, and deploy end-to-end models.",Joshua Stapleton
Data Communication Concepts,Storytelling with Data,0.5600422454,"You’ve analyzed your data, run your model, and made your predictions. Now, it's time to bring your data to life! Presenting findings to stakeholders so they can make data-driven decisions is an essential skill for all data scientists. In this course, you’ll learn how to use storytelling to connect with your audience and help them understand the content of your presentation—so they can make the right decisions. Through hands-on exercises, you’ll learn the advantages and disadvantages of oral and written formats. You’ll also improve how you translate technical results into compelling stories, using the correct data, visualizations, and in-person presentation techniques. Start learning and improve your data storytelling today.",No one enjoys looking at spreadsheets! Bring your data to life. Improve your presentation and learn how to translate technical data into actionable insights.,Hadrien Lacroix
Ensemble Methods in Python,Machine Learning with Tree-Based Models in Python,0.5453776934,"Continue your machine learning journey by diving into the wonderful world of ensemble learning methods! These are an exciting class of machine learning techniques that combine multiple individual algorithms to boost performance and solve complex problems at scale across different industries. Ensemble techniques regularly win online machine learning competitions as well! In this course, you’ll learn all about these advanced ensemble techniques, such as bagging, boosting, and stacking. You’ll apply them to real-world datasets using cutting edge Python machine learning libraries such as scikit-learn, XGBoost, CatBoost, and mlxtend.","Learn how to build advanced and effective machine learning models in Python using ensemble techniques such as bagging, boosting, and stacking.",Román de las Heras
Productionizing Generative AI on Vertex AI,Building GenAI Applications on Google Cloud,0.4933452018,"Take your GenAI prototypes to production using Google Cloud Vertex AI, pipelines, and monitoring best practices.",Operationalize GenAI workloads on Vertex AI.,Marta Gonzalez
CI/CD for Machine Learning,MLOps: Continuous Integration and Delivery for Machine Learning,0.480964389,"The course will empower you to streamline your machine learning development processes, enhancing efficiency, reliability, and reproducibility in your projects. Throughout the course, you'll develop a comprehensive understanding of CI/CD workflows and YAML syntax, utilizing GitHub Actions (GA) for automation, training models in a pipeline, versioning datasets with DVC, and performing hyperparameter tuning. You'll be introduced to the fundamental concepts of CI/CD and YAML, and gain an understanding of the software development life cycle and key terms like build, test, and deploy. You'll define Continuous Integration, Continuous Delivery, and Continuous Deployment while examining their distinctions. You'll also explore the utility of CI/CD in machine learning and experimentation. You'll learn about GA, a powerful platform for implementing CI/CD workflows. You'll discover the various elements of GA, including events, actions, jobs, steps, runners, and context. You'll learn how to define workflows triggered by events such as push and pull requests and customize runner machines. You'll also gain practical experience by setting up basic CI pipelines and understanding the GA log. You'll delve deep into Data Version Control (DVC) for versioning datasets, initializing DVC, and tracking datasets. Using DVC pipelines, you'll learn how to train classification models and generate metrics in a reproducible manner. You'll then focus on model performance analysis and hyperparameter tuning and gain practical skills in comparing metrics and plots across branches to track changes in model performance. You'll learn how to perform hyperparameter tuning using scikit-learn's GridSearchCV. Additionally, you'll explore automating pull requests with the best model configuration.",Elevate your Machine Learning Development with CI/CD using GitHub Actions and Data Version Control,Ravi Bhadauria
Understanding Prompt Engineering,ChatGPT Fundamentals,0.4659849822,"Embark on an immersive journey to master ChatGPT, the groundbreaking conversational language model, and revolutionize your business and creative processes. This comprehensive course covers the essentials of prompt engineering, teaching you to construct clear, specific, and open-ended prompts, and advances into sophisticated techniques like zero-shot, one-shot, and few-shot learning. Furthermore, you'll develop skills to evaluate ChatGPT's responses, ensuring accuracy and relevance critically. This all-encompassing course is your gateway to unlocking the full potential of ChatGPT, enhancing your workflow, and staying ahead in the world of generative AI The videos contain live transcripts, which can be accessed by clicking ""Show transcript"" at the bottom left of the videos. The course glossary can be found on the right in the resources section. To obtain CPE credits you need to complete the course and reach a score of 70% on the qualified assessment. You can navigate to the assessment by clicking on the CPE credits callout on the right.",Learn how to write effective prompts with ChatGPT to apply in your workflow today.,Alex Banks
Recurrent Neural Networks (RNNs) for Language Modeling with Keras,Introduction to Natural Language Processing in Python,0.4078907018,"Machine Learning models are based on numerical values to make predictions/classification, but how can computers deal with text data? With the huge increase of available text data, applications such as automatic document classification, text generation, and neural machine translation became possible. In this course, you will learn how to use Recurrent Neural Networks to classify text (binary and multiclass), generate phrases simulating the character Sheldon from The Big Bang Theory TV Show, and translate Portuguese sentences into English. Are you ready to start your journey into Language Models using Keras and Python? Dive in!","Learn how to use RNNs to classify text sentiment, generate sentences, and translate text between languages.",David Cecchini
